src,dest,dist
ARN,MSQ,889857
ARN,MUC,1318880
ARN,NCE,1921769
ARN,OAK,8609280
ARN,ORD,6875260
ARN,ORY,1576525
ARN,OSL,385911
ARN,PEK,6709185
ARN,PMI,2476592
ARN,PMO,2412802
ARN,PRG,1088439
ARN,PSA,1848485
ARN,RIX,467005
ARN,SAW,2231057
ARN,SJJ,1761180
ARN,SKG,2157042
ARN,SVG,704696
ARN,SVO,1223804
ARN,SXF,854361
ARN,TLL,391965
ARN,TLV,3320638
ARN,TOS,1119340
ARN,TRD,563419
ARN,TXL,840095
ARN,VCE,1617389
ARN,VIE,1287590
ARN,VNO,714095
ARN,WAW,854805
ARN,ZRH,1488366
ATH,ADB,284465
ATH,AMM,1298310
ATH,AMS,2183931
ATH,ARN,2452706
ATH,AUH,3266299
ATH,BCN,1908948
ATH,BEG,822370
ATH,BEY,1136979
ATH,BGY,1458964
ATH,BRU,2103835
ATH,BUD,1122609
ATH,CAI,1106438
ATH,CDG,2111808
ATH,CGN,1954441
ATH,CPH,2139943
ATH,DME,2207252
ATH,DOH,2960658
ATH,DUB,2880430
ATH,DUS,2005223
ATH,DXB,3275593
ATH,EDI,2851836
ATH,EIN,2091111
ATH,EVN,1783473
ATH,FCO,1087546
ATH,FRA,1818084
ATH,GVA,1734010
ATH,HAM,2046151
ATH,HEL,2490014
ATH,HER,308617
ATH,IST,538029
ATH,KBP,1485091
ATH,LCA,931818
ATH,LED,2472518
ATH,LGW,2396548
ATH,LHR,2430324
ATH,MAD,2383108
ATH,MAN,2640427
ATH,MLA,874326
ATH,MRS,1691912
ATH,MUC,1518592
ATH,MXP,1522517
ATH,ORY,2109697
ATH,OSL,2636241
ATH,OTP,758747
ATH,PFO,845522
ATH,PHL,8102464
ATH,PRG,1555799
ATH,RIX,2110968
ATH,SAW,566902
ATH,SKG,298859
ATH,SOF,530522
ATH,STN,2411251
ATH,STR,1683668
ATH,SVO,2242819
ATH,SXF,1798003
ATH,TBS,1841394
ATH,TIA,529458
ATH,TLS,2000701
ATH,TLV,1194695
ATH,TXL,1823364
ATH,VCE,1277203
ATH,VIE,1278727
ATH,WAW,1598283
ATH,YUL,7651108
ATH,YYZ,8148680
ATH,ZRH,1641363
ATL,ABQ,2042739
ATL,AGS,230814
ATL,AMS,7082201
ATL,AUS,1308137
ATL,AVL,264249
ATL,BDL,1383024
ATL,BHM,215985
ATL,BMI,857373
ATL,BNA,344193
ATL,BOG,3375991
ATL,BOS,1522612
ATL,BRU,7122565
ATL,BSB,6710297
ATL,BTR,721624
ATL,BUF,1145965
ATL,BWI,927888
ATL,BZE,1825033
ATL,CAE,308235
ATL,CDG,7072131
ATL,CHA,170775
ATL,CHS,416873
ATL,CID,1117001
ATL,CLE,892396
ATL,CLT,364981
ATL,CMH,719090
ATL,COS,1906139
ATL,CRW,584316
ATL,CUN,1416971
ATL,CVG,600942
ATL,DAL,1160460
ATL,DAY,695577
ATL,DCA,880443
ATL,DEN,1930018
ATL,DFW,1177007
ATL,DSM,1195885
ATL,DTW,956518
ATL,DUB,6337098
ATL,DUS,7253278
ATL,DXB,12229782
ATL,EWR,1199940
ATL,EZE,8045217
ATL,FCO,8104422
ATL,FLL,934459
ATL,FRA,7425554
ATL,FSM,931802
ATL,FWA,817643
ATL,GCM,1618244
ATL,GDL,2363385
ATL,GIG,7620564
ATL,GPT,566044
ATL,GRB,1245871
ATL,GRU,7487937
ATL,GSO,493012
ATL,GSP,246766
ATL,HNL,7245651
ATL,HOU,1119610
ATL,HSV,243258
ATL,IAD,859234
ATL,IAH,1109115
ATL,ICN,11510400
ATL,ICT,1257813
ATL,IND,695041
ATL,JAN,547957
ATL,JAX,433988
ATL,JFK,1222840
ATL,JNB,13581801
ATL,KIN,1899132
ATL,LAS,2810925
ATL,LAX,3132519
ATL,LEX,488449
ATL,LFT,809546
ATL,LGA,1225550
ATL,LHR,6776332
ATL,LIM,5112067
ATL,LIT,728652
ATL,LOS,9404166
ATL,MAD,6976172
ATL,MAN,6595966
ATL,MBS,1098976
ATL,MCI,1114397
ATL,MCO,649507
ATL,MDW,950596
ATL,MEM,533749
ATL,MEX,2141025
ATL,MGM,236070
ATL,MHT,1531867
ATL,MIA,956918
ATL,MKE,1076838
ATL,MLI,1019331
ATL,MLU,721256
ATL,MOB,485879
ATL,MSN,1138209
ATL,MSP,1459002
ATL,MSY,683812
ATL,MTY,1746427
ATL,MUC,7720031
ATL,NAS,1167712
ATL,NRT,11024697
ATL,OKC,1224188
ATL,ORD,974957
ATL,ORF,830857
ATL,PBI,876311
ATL,PDX,3495792
ATL,PHF,818231
ATL,PHL,1072147
ATL,PHX,2554546
ATL,PIA,908982
ATL,PIT,847031
ATL,PTY,2768974
ATL,PUJ,2311028
ATL,PVR,2505901
ATL,PWM,1652684
ATL,RDU,573022
ATL,RIC,773861
ATL,ROA,574993
ATL,ROC,1205781
ATL,RSW,828121
ATL,SAN,3044123
ATL,SAT,1406844
ATL,SAV,345142
ATL,SBN,911217
ATL,SCL,7555802
ATL,SDF,517131
ATL,SDQ,2235280
ATL,SEA,3511235
ATL,SFO,3442220
ATL,SGF,906215
ATL,SHV,887356
ATL,SJC,3405065
ATL,SJD,2727497
ATL,SJU,2489185
ATL,SLC,2558541
ATL,SMF,3367019
ATL,SNA,3087901
ATL,SRQ,714866
ATL,STL,778975
ATL,STR,7534244
ATL,SXM,2737742
ATL,SYR,1277132
ATL,TLH,359372
ATL,TPA,653266
ATL,TRI,364870
ATL,TUL,1084327
ATL,TUS,2480122
ATL,TYS,244462
ATL,UIO,3791225
ATL,VPS,401847
ATL,YUL,1599949
ATL,YYZ,1189685
ATL,ZRH,7549108
ATQ,BOM,1411488
ATQ,DEL,413201
ATQ,DOH,2374369
ATQ,TAS,1168520
AUH,ALA,2929785
AUH,AMM,2000191
AUH,AMS,5196397
AUH,ATH,3266299
AUH,BAH,452720
AUH,BEG,3831057
AUH,BEY,2130211
AUH,BGW,1409358
AUH,BKK,4971805
AUH,BLR,2723694
AUH,BOM,1972968
AUH,BRU,5171851
AUH,BSR,967152
AUH,CAI,2381422
AUH,CCJ,2689423
AUH,CDG,5257861
AUH,CGK,6571886
AUH,CMB,3297827
AUH,CMN,6063424
AUH,COK,2793650
AUH,CTU,4880250
AUH,DEL,2280960
AUH,DME,3703455
AUH,DMM,537752
AUH,DOH,321318
AUH,DUB,5948056
AUH,DUS,5030802
AUH,FCO,4344410
AUH,FRA,4867893
AUH,GRU,12122015
AUH,GVA,4932022
AUH,HKG,6016596
AUH,HYD,2595901
AUH,IAD,11407029
AUH,ICN,6849448
AUH,IKA,1263235
AUH,ISB,2060545
AUH,IST,3018871
AUH,JED,1615934
AUH,JFK,11051404
AUH,JNB,6275392
AUH,KRT,2506508
AUH,KUL,5589338
AUH,KWI,850153
AUH,LCA,2334483
AUH,LHR,5522926
AUH,LOS,5811372
AUH,MAA,2967042
AUH,MAN,5684628
AUH,MCT,381162
AUH,MED,1514246
AUH,MEL,11643913
AUH,MLE,3018360
AUH,MNL,6993591
AUH,MSQ,3948576
AUH,MUC,4583818
AUH,MXP,4718894
AUH,NBO,3432585
AUH,NRT,8103128
AUH,ORD,11708667
AUH,PEK,5964755
AUH,PVG,6561525
AUH,RUH,806732
AUH,SGN,5685903
AUH,SIN,5886513
AUH,SYD,12056907
AUH,TRV,2952852
AUH,TSE,3284811
AUH,TXL,4666311
AUH,YYZ,11142680
AUS,ATL,1308137
AUS,BNA,1216879
AUS,BOS,2733035
AUS,BWI,2159700
AUS,CLE,1890118
AUS,CLT,1661624
AUS,CUN,1483103
AUS,DAL,304204
AUS,DCA,2117017
AUS,DEN,1247440
AUS,DFW,305575
AUS,DTW,1848542
AUS,EWR,2419833
AUS,FLL,1778371
AUS,HOU,238766
AUS,IAD,2086884
AUS,IAH,225667
AUS,JFK,2448499
AUS,LAS,1753691
AUS,LAX,1998049
AUS,LBB,549635
AUS,LHR,7909646
AUS,MCO,1599961
AUS,MDW,1564071
AUS,MEM,899693
AUS,MEX,1200072
AUS,MSP,1676177
AUS,MSY,714693
AUS,OAK,2409193
AUS,ORD,1573385
AUS,PHL,2301949
AUS,PHX,1403333
AUS,SAN,1873648
AUS,SEA,2849044
AUS,SFO,2419939
AUS,SJC,2375286
AUS,SLC,1747004
AUS,SMF,2382835
AUS,TPA,1492898
AVL,ATL,264249
AVL,CLT,147437
AVL,DTW,755525
AVL,FLL,1062899
AVL,ORD,862743
AVL,SFB,748534
AYT,ADA,399145
AYT,ADB,356980
AYT,AMS,2658381
AYT,BGO,3170552
AYT,BGW,1288507
AYT,BHX,3065502
AYT,BLL,2653434
AYT,BRE,2477391
AYT,BRS,3088069
AYT,BRU,2601585
AYT,BSL,2244671
AYT,CGN,2435247
AYT,CPH,2490602
AYT,DRS,2079320
AYT,DUS,2481909
AYT,EIN,2574896
AYT,ESB,406346
AYT,FMO,2478602
AYT,FRA,2302079
AYT,GLA,3373558
AYT,GVA,2292737
AYT,HAJ,2389470
AYT,HAM,2456335
AYT,HEL,2637056
AYT,IST,484335
AYT,LBA,3120502
AYT,LED,2546847
AYT,LEJ,2180946
AYT,LGW,2912998
AYT,LTN,2953987
AYT,LUX,2428215
AYT,MAN,3135580
AYT,MUC,2003295
AYT,NUE,2117093
AYT,ORY,2648860
AYT,OSL,2944719
AYT,PRG,1976281
AYT,SAW,462483
AYT,STR,2185373
AYT,SVO,2177905
AYT,SXF,2187837
AYT,TRD,3245953
AYT,TXL,2213256
AYT,TZX,901571
AYT,VIE,1703107
AYT,VKO,2134468
AYT,ZRH,2168913
BAH,ADD,2285776
BAH,AMM,1547487
BAH,AUH,452720
BAH,BEY,1680660
BAH,BGW,991264
BAH,BKK,5392298
BAH,BOM,2415132
BAH,CAI,1932911
BAH,CDG,4827558
BAH,CMB,3749758
BAH,COK,3245796
BAH,DEL,2624451
BAH,DMM,86308
BAH,DOH,147554
BAH,DWC,479655
BAH,DXB,487769
BAH,FRA,4445464
BAH,IKA,1015128
BAH,ISB,2310608
BAH,IST,2586826
BAH,JED,1273178
BAH,KRT,2217449
BAH,KWI,419850
BAH,LCA,1885916
BAH,LHR,5099825
BAH,MAA,3416842
BAH,MCT,827532
BAH,MED,1115492
BAH,MHD,1397274
BAH,MNL,7379716
BAH,RUH,421118
BAH,SHJ,500724
BAH,SKT,2399623
BAH,TRV,3403839
BCN,AAL,1842861
BCN,AGP,766442
BCN,ALC,403756
BCN,ALG,520733
BCN,AMM,3194444
BCN,AMS,1240927
BCN,ARN,2317184
BCN,ATH,1908948
BCN,BFS,1606767
BCN,BGO,2124167
BCN,BGY,784896
BCN,BHX,1273648
BCN,BLQ,832983
BCN,BOD,453465
BCN,BOG,8516834
BCN,BRI,1229862
BCN,BRS,1179708
BCN,BRU,1083478
BCN,BSL,822462
BCN,BUD,1525225
BCN,CAI,2910374
BCN,CDG,858279
BCN,CGN,1132749
BCN,CIA,878651
BCN,CMN,1226712
BCN,CPH,1769619
BCN,CRL,1034771
BCN,CTA,1195608
BCN,CWL,1196879
BCN,DKR,3497855
BCN,DME,3035305
BCN,DOH,4868789
BCN,DRS,1413773
BCN,DTM,1212357
BCN,DUB,1485786
BCN,DUS,1167369
BCN,DXB,5183828
BCN,EDI,1676945
BCN,EIN,1156416
BCN,EMA,1307716
BCN,EWR,6192379
BCN,EZE,10457747
BCN,FCO,850057
BCN,FRA,1092233
BCN,GDN,1893141
BCN,GLA,1688593
BCN,GOA,651602
