src,dest,dist
CGN,BRI,1310585
CGN,AYT,2435247
CGN,MAN,701386
BRU,STR,420401
DUS,SKG,1728846
LPA,CGN,3174279
CGN,ZAG,872411
HAM,NUE,465719
HAM,BHX,797033
PRN,STR,1142787
HAM,AMS,380455
SAW,CGN,2034148
CGN,EDI,897895
CTA,CGN,1615844
PRG,CGN,512052
NCE,TXL,1087200
CGN,TLV,3090585
HAM,ARN,827254
BSL,DUS,415195
CGN,ZRH,391897
DUS,MAD,1440222
CGN,SKG,1679333
HAM,MXP,894357
STR,MXP,342168
HAM,CDG,729198
CTA,STR,1333559
BUD,STR,760124
HAJ,PMI,1530692
HAM,MAN,813498
CGN,MXP,593888
WAW,DUS,984391
CDG,HAM,729198
SKG,HAM,1753683
STR,HAM,552235
ZAG,CGN,872411
CGN,TXL,464455
DRS,STR,424615
TXL,HEL,1121330
HAM,CTA,1838520
TXL,NCE,1087200
LHR,CGN,535886
LIS,CGN,1852302
MAD,HAM,1780386
HER,STR,1978338
STR,LHR,758244
BLQ,CGN,769260
DTM,SAW,2035974
CGN,BUD,960933
STR,BRU,420401
SKG,STR,1415938
DUS,BRI,1363926
HER,TXL,2131786
DUS,ARN,1164736
HAM,VIE,768556
BWN,MNL,1250952
DUS,LEJ,381572
CEB,ICN,3018905
DVO,CGY,210334
AYT,ZRH,2168913
CWL,DUS,704002
CTA,HAJ,1718350
CTA,HAM,1838520
HAJ,STR,420787
GVA,HAM,867780
DUS,WRO,707078
HAJ,STN,649206
CGN,CAG,1299374
TXL,LIN,843547
BHX,HAM,797033
CAG,DUS,1349678
MXP,CGN,593888
MAN,CGN,701386
STR,BEG,948905
STR,CAG,1048803
LHR,TXL,950244
HAM,BCN,1493071
DUS,CWL,704002
OSL,HAM,734002
STR,PMI,1139288
STR,NAP,954963
STR,SJJ,885435
PRN,TXL,1252431
HAM,PMI,1658593
DUS,VCE,764178
BCN,DUS,1167369
CGN,PRG,512052
BLQ,TXL,904335
SJJ,TXL,1040517
PRN,HAM,1475667
HAM,OSL,734002
CGN,DRS,465817
DUS,HER,2304161
FCO,STR,801137
HER,CGN,2252729
HAM,SKG,1753683
DUS,BCN,1167369
FAO,CGN,1951601
DUS,CAG,1349678
FCO,HAM,1325591
VRN,HAM,918156
DUS,PRN,1451350
KTW,DUS,870244
DUS,POZ,703828
HAJ,SKG,1668434
HAJ,VCE,797650
HAJ,BCN,1368031
MXP,STR,342168
STN,STR,731749
TXL,BHX,1019142
TXL,AGP,2247360
STR,FAO,1903820
STR,HER,1978338
HAJ,MXP,762819
CGN,NAP,1238924
NCE,HAM,1127343
NUE,HAM,465719
STN,HAJ,649206
TXL,HER,2131786
LIS,STR,1835706
TLV,CGN,3090585
MAN,HAM,813498
PRN,DUS,1451350
MXP,HAJ,762819
NUE,DUS,364845
HAJ,PRN,1389218
HAM,PRG,490540
PMI,DUS,1341552
STR,PRN,1142787
DUS,WAW,984391
PMI,CGN,1303524
SKG,HAJ,1668434
PMI,STR,1139288
PSA,CGN,835256
HAM,HER,2353444
MAD,DUS,1440222
SAW,DTM,2035974
GVA,DUS,563813
HAM,LHR,747665
HAJ,FCO,1200407
HAM,NCE,1127343
DUB,DUS,917905
HAM,CGN,363791
PMO,CGN,1486076
PMI,TXL,1656440
PMI,HAM,1658593
PRG,HAM,490540
VCE,HAM,919572
HAM,NAP,1453118
CGY,MNL,752200
NAP,CGN,1238924
TXL,SJJ,1040517
VIE,HAM,768556
VRN,TXL,815707
SKG,CGN,1679333
TXL,BLQ,904335
TXL,STR,517584
POZ,DUS,703828
DUS,CTA,1669756
STR,BUD,760124
VCE,HAJ,797650
ZAG,STR,613097
STR,AGP,1739772
SAW,STR,1802152
STR,FCO,801137
LEJ,CGN,362225
STN,CGN,493958
STR,BCN,995152
VCE,DUS,764178
VCE,CGN,710456
TXL,VRN,815707
VIE,HAJ,688607
STR,TXL,517584
TXL,NUE,374434
HAM,FKB,555854
