GIG,CNF,360566
GMP,CJU,449829
ATL,STR,7534244
WNZ,NAY,1379464
LUX,TXL,593077
LIS,HAM,2199965
WAW,BEG,818454
ZRH,FCO,693975
XMN,CAN,507724
EIN,BJV,2359181
CTA,FCO,538773
TXL,CTA,1683019
PVG,NRT,1798680
TSE,GYD,2026149
ATL,PIT,847031
BEG,FRA,1058048
MCO,FRA,7633612
YYZ,WAW,6954655
XMN,BKK,2185001
AGP,AMS,1883375
BHD,LHR,504085
HGH,HAK,1519267
NGO,HNL,6477342
GDN,ZRH,1036183
ADD,NBO,1157447
ICT,ATL,1257813
IST,KWI,2170996
DUS,HAM,340223
NCE,DUS,849096
TAS,PEK,3951685
MAD,ORY,1027841
CGK,DXB,6543696
PEK,CDG,8210548
ICN,WUH,1349244
CMH,ATL,719090
CAN,HGH,1037259
LHR,YOW,5361949
TBS,WAW,2152379
ZRH,JFK,6326343
XIY,HGH,1194107
ZRH,WAW,1033426
BRU,MAD,1313967
LIN,CTA,1008868
DLC,WUH,1127413
KIX,CAN,2456763
LHR,BEG,1705597
ICN,RUH,7505475
BOS,LHR,5254215
WUH,HGH,600719
HKG,SYX,646328
MAD,DUB,1451547
TAS,IKA,1708317
FRA,GRU,9774272
DPS,MEL,4376185
PVG,HKG,1253823
AMS,HKG,9290300
FRA,BLQ,644722
PMO,FRA,1365499
MAN,TFS,3046144
CAN,HGH,1037259
TXL,VIE,547175
BCN,EDI,1676945
PTY,MIA,1853265
FOC,SYX,1352773
HNL,HND,6201581
BEG,ZRH,953945
PUS,CTS,1387505
EWR,ATL,1199940
LOS,NBO,3834806
IAD,MUC,6860804
HAM,WAW,755767
SIN,ZRH,10309662
EDI,BCN,1676945
CTA,MUC,1238441
WUH,XMN,792102
ORD,MSY,1346544
HKG,WUH,939451
MUC,ATL,7720031
SAW,KWI,2130865
DXB,MUC,4568380
NBO,ZRH,6068290
GLA,PMI,1890207
MIA,CDG,7384749
GRU,CWB,358872
UIO,MAD,8737958
HEL,MUC,1577199
KTW,FRA,752533
ORD,ZRH,7150169
ATH,EIN,2091111
FCO,ORD,7762052
DUS,NAP,1292914
JNB,DUR,477858
SHE,NRT,1604872
PEK,HKG,1986505
AMS,VCE,937967
OSL,AMS,960812
FRA,HAM,413162
VIE,YYZ,6967787
BEG,ZRH,953945
FOC,CTU,1623984
BLR,SIN,3179635
TAS,SHJ,2176741
MAD,PRG,1751745
DOH,BOM,2293743
GRU,JFK,7636241
CJU,CJJ,367233
ATL,MCO,649507
MLA,DUS,1821711
ALA,TSE,950943
MAN,DUS,657341
WAW,YYZ,6954655
ZRH,DEL,6159431
XMN,KWE,1159211
BJV,ADB,123969
MLA,CTA,186184
TIA,VRN,840369
TSE,IST,3432243
ATL,HSV,243258
NWI,MLA,2137551
SCL,GIG,2937123
HAM,DUS,340223
LCY,BSL,693849
SHA,FOC,605775
AMS,CMN,2326427
BCN,PMO,1004706
CTA,DUS,1669756
SYX,TSN,2431880
NGO,BKK,4310670
HKG,DLC,1984053
ATL,DUB,6337098
IST,MLA,1372769
LUX,DUS,189132
KBP,MUC,1401932
MUC,WRO,477999
GVA,PRG,742325
PEK,XMN,1728914
VIE,TXL,547175
BEG,SJJ,192557
ITM,NRT,463041
BEG,FCO,734042
PUS,GUM,2883242
EZE,CDG,11075531
FRU,DME,2949906
CAG,MUC,1034773
MUC,KRK,613112
EMA,ALC,1618095
TLV,BRU,3254252
DOH,KUL,5910648
TSN,HKG,1892628
MEL,NRT,8143672
ICN,CDG,8949233
AUH,BAH,452720
CWL,MLA,2234699
MAD,UIO,8737958
FRA,SIN,10284601
TIP,MAN,2607592
MAD,GVA,1009855
SZX,FOC,697163
ZRH,CDG,477547
TYN,XMN,1554140
XIY,SZX,1398586
YUL,LHR,5229549
PEK,GYD,5516462
HND,HKG,2904232
HKG,ICN,2066884
YYZ,AMS,6006888
LUX,PMI,1152684
LCA,MUC,2341984
WAW,LJU,812801
ZRH,LCA,2508634
XMN,KWL,820645
PMI,AMS,1426449
LGW,MCO,7004994
IKA,GYD,569026
CNX,HKG,1607023
AAL,AMS,624999
LHR,SEA,7725205
LHR,KWI,4681368
MUC,SOF,1102703
KRK,NCL,1549970
TLV,LTN,3605134
AGP,TLS,919105
ORD,DUS,6807343
ICN,SYD,8310864
BRU,JFK,5901406
PRG,MLA,1582426
FRA,TUN,1470040
ICN,HKG,2066884
GVA,TLV,2922228
MFM,XMN,534233
BGO,BCN,2124167
SIN,LHR,10887923
HAK,CAN,482627
NGO,HND,281615
SGN,REP,421544
AMS,BOD,924260
LAX,MSY,2688036
AUH,KWI,850153
CPH,MUC,810441
CDG,MAN,588804
TLV,BOM,4051042
MAD,HEL,2950145
AUH,CCJ,2689423
SFO,HND,8304662
ALA,URC,843725
AMS,TLS,997610
SFO,AMS,8808252
MAD,FRA,1419752
FRA,MRS,774821
GVA,FRA,458482
HGH,CTU,1583346
XIY,PEK,933947
BRU,FCO,1173167
WAW,LHR,1474293
NKG,NRT,2039020
CCU,HKG,2618001
AMS,HAM,380455
MAN,ATL,6595966
KWI,BOM,2760419
EWR,DUB,5138100
NUE,ZRH,292885
PMI,MAN,1580846
TUN,BEY,2314159
LHR,RDU,6231142
SYZ,MHD,992729
DPS,BNE,4488604
ALA,KGF,757554
URC,WUH,2761704
LUX,CPH,796099
JFK,MUC,6498472
MSQ,WAW,510744
MLA,ZRH,1379443
SZX,NNG,579690
YYZ,PEK,10586422
BCN,PRG,1359565
ZRH,BCN,857008
WUH,HAK,1259407
AMS,ZRH,603346
ZRH,AMS,603346
FRA,PHL,6354802
YYT,LHR,3727030
BRU,LIN,703303
HGH,SYX,1729105
URC,PEK,2436153
KWI,SAW,2130865
ZRH,GDN,1036183
AMS,RIX,1337260
SAT,ATL,1406844
SCL,EZE,1140607
GLA,EWR,5195710
ICN,CRK,2536576
BRU,GVA,532207
SZX,TNA,1609772
ALC,BCN,403756
MXP,JFK,6429708
GYD,TBS,448216
DFW,MSY,720196
SIN,CGK,878005
CGK,SYD,5517406
ARN,FRA,1226544
MLA,DUS,1821711
WAW,DUS,984391
ZRH,MAD,1240497
XMN,CSX,634731
EIN,TXL,556940
BSB,NAT,1767676
LJU,IST,1294901
CGK,ICN,5245645
ATL,LIT,728652
SVO,AMS,2151304
GRU,EZE,1720748
FRA,GYD,3377513
ZRH,DUS,444602
CDG,GVA,408232
HRB,HGH,1782271
HRG,ZRH,3146940
NNG,FOC,1222999
TXL,GOT,571717
ALG,MAD,725797
PMI,AGP,710226
BKK,HND,4590204
URC,TSE,1438248
ATL,BRU,7122565
ROC,ATL,1205781
HAJ,FRA,282351
FRA,POZ,636543
PRN,ZRH,1122471
TSN,CKG,1431985
TXL,MUC,479824
AMM,BCN,3194444
TLS,BCN,265625
TLV,BCN,3087318
HND,HNL,6201581
BEG,ARN,1658316
HKG,PUS,2041582
ATL,PHL,1072147
CTU,NAY,1522624
IAD,ATL,859234
FRA,WAW,901015
KBP,ZRH,1662539
TSN,DLC,363389
LPA,AMS,3181730
LHR,ATL,6776332
IKA,MXP,3720924
TPE,FUK,1299103
AMS,SIN,10517338
ORD,GCM,2590232
DUS,GLA,898513
MUC,TLS,961927
GLA,LPA,3224786
SGN,KUL,1046467
TAS,KUL,5359302
MAD,GIG,8124197
LIM,SCL,2452971
ICN,AKL,9629758
ATL,TPA,653266
SOF,ATH,530522
CAG,LUX,1174660
FRA,VCE,577923
DOH,BAH,147554
MXP,DKR,4214227
HAK,KWE,821437
DUS,BEG,1236593
NRT,CJU,1296934
GRB,ATL,1245871
BOM,KWI,2760419
CTU,FRA,7829444
MUC,LHR,944130
TLV,ZRH,2812166
URC,TAS,1518902
MAD,LCY,1255297
MCO,GRU,6848141
ICN,KIX,861671
CDG,ABV,4456863
MLA,TIP,374522
LUX,NAP,1158575
LAX,LHR,8780646
WAW,VNO,397342
ZRH,CTA,1232073
URC,TNA,2627705
AMS,BCN,1240927
DLC,NGB,1013818
REP,ICN,3485386
HRB,CGO,1621046
KWI,CMB,4139529
EWR,EDI,5258705
SFO,FRA,9171459
NCL,KRK,1549970
CAI,BEY,563063
CCU,SIN,2895489
LED,TAS,3371807
MAD,LPA,1765053
CCJ,BOM,940281
CAN,KIX,2456763
MEX,TIJ,2300084
HGH,AMS,8941630
GVA,FRA,458482
CNX,BKK,594223
MUC,ODS,1438456
EDI,PMI,1878138
TLV,MXP,2709084
MCT,AUH,381162
HKG,TYN,1715842
MAD,EZE,10062209
MXP,IKA,3720924
SIN,DPS,1668395
ICN,LAX,9646375
CTU,AMS,7959343
FRA,KWI,4026788
DUS,VKO,2064099
SXF,TLV,2846352
KMG,KUL,2477208
JFK,LHR,5554540
BOM,IKA,2798228
CDG,GRU,9381720
TPE,NGO,1849316
WNZ,HKG,934906
AMS,SVO,2151304
PIT,ATL,847031
FRA,JFK,6204692
TXL,ZAG,784632
AGP,ZRH,1608820
DLC,HGH,974403
SZX,CTU,1317474
BCN,CDG,858279
SVG,BCN,1971197
CTU,CAN,1222066
HEL,NRT,7849010
PNH,HAN,1075555
AMS,ACC,5197688
JFK,BRU,5901406
BLL,FRA,637176
DLM,MAN,3028133
ZRH,TLV,2812166
CDG,MIA,7384749
BEY,SVO,2466178
BKK,HKG,1688538
LHR,IAD,5917134
IKA,GOT,3786433
XMN,KWL,820645
PVG,KOJ,850003
PVG,REP,2692394
TLV,ICN,8056247
HAJ,AMS,335436
DXB,KWI,854323
DUS,SKG,1728846
MXP,BRU,665131
CAN,FOC,702932
TNA,SHE,757601
BOM,TRV,1252392
PER,SYD,3284035
FRU,ALA,210761
AMS,PRG,707011
SJC,ATL,3405065
CUZ,LIM,586353
FRA,HND,9385592
SVG,FRA,1002768
PRG,LBA,1168148
CTU,CSX,937992
WUH,XIY,653461
CTA,LIN,1008868
KIX,HAN,3231539
GDN,KRK,486842
AMS,ORD,6630375
LJU,FRA,610098
WAW,BUD,540158
XMN,SHE,1959789
HKG,CKG,1096673
JFK,LCY,5587482
BSB,FLN,1308361
CDG,LJU,946119
ALA,SGN,4600203
ATL,ABQ,2042739
SDQ,CDG,7193035
KMG,NNG,601164
FRA,ALA,5105831
PSA,MUC,530138
LCA,LBA,3457926
CGO,HRB,1621046
SZX,XIY,1398586
ALC,DME,3431481
JFK,GRU,7636241
CMB,MLE,777635
ATL,MTY,1746427
LUX,LCY,483447
KUF,FRA,2857501
WAW,HAM,755767
ZRH,BOS,6026517
TNA,URC,2627705
LAX,LHR,8780646
TLV,MXP,2709084
LJU,PRG,431358
DEL,ALA,1640623
ATL,DAY,695577
SHV,ATL,887356
CUN,MIA,854526
FRA,NKG,8656676
ZRH,HAJ,561666
FRA,DOH,4593012
HGH,KMG,1815773
NUE,BCN,1149874
LAX,LIM,6706127
CGK,SUB,691826
ICN,CJU,439134
ATL,SJU,2489185
CKG,NAY,1427273
BOG,FRA,9087640
MUC,DEL,5910216
EDI,ALC,1975338
ZRH,PEK,7991788
BKK,KUL,1214101
LIS,EIN,1805827
GVA,MAD,1009855
TXL,FCO,1198246
CWB,SSA,1801801
BNE,SYD,750811
NAY,NGB,1197553
LUX,FAO,1806393
LEJ,FRA,304335
MXP,WAW,1152122
ZRH,AGP,1608820
BRU,VCE,836963
NAP,DUS,1292914
XMN,WUH,792102
NRT,NGO,340805
ALA,LED,3618000
ATL,MGM,236070
NCL,MLA,2465149
AMS,IAD,6223344
LIS,FRA,1874099
WAW,MUC,779109
XMN,CGO,1180905
BCN,SCQ,885442
TRN,BCN,626439
HAK,CGO,1650174
KOJ,PVG,850003
CTS,NRT,786399
IST,ADA,714185
HGH,HAK,1519267
AUH,MCT,381162
DOH,BAH,147554
TAS,DXB,2192081
MAD,LAX,9406180
GRU,SCL,2616569
ICN,PRG,8257626
CAN,AMS,9155971
MLA,SAW,1409242
JED,FRA,4131614
LIS,WAW,2754036
ZRH,CGN,391897
URC,CGO,2489959
ZRH,NUE,292885
AMS,OPO,1596601
BCN,VIE,1372071
FCO,AMM,2385639
CAN,HAK,482627
BEG,TGD,286227
ICN,KOJ,740171
ATL,SLC,2558541
MLA,EXT,2188142
ALG,FRA,1542202
MAN,EWR,5397609
ALC,LBA,1734211
BCN,TLV,3087318
AMS,PFO,2941117
MXP,VIE,657920
NRT,LAX,8772757
WRO,GDN,379719
LIM,LAX,6706127
DFW,AMS,7918450
SVO,DXB,3709002
BOM,MUC,6317990
MUC,ATH,1518592
ALC,MAN,1680338
ZRH,LCY,761272
KUL,CGK,1124518
ICN,TAS,4855576
LIM,JFK,5840223
GMP,HND,1182960
ATL,MKE,1076838
XIY,DLC,1246243
LIM,CUN,3809405
FRA,FAO,1958867
TLS,FRA,896796
BRU,VNO,1458002
TPE,PEK,1719333
BCN,AMS,1240927
ORD,LHR,6361433
VIE,GYD,2778448
HNL,NGO,6477342
BEG,DUS,1236593
PUS,GMP,326782
EZE,AMS,11437224
BOM,NBO,4531242
ARN,DUS,1164736
LHR,DUS,503481
OTP,WAW,925556
XMN,SYX,1136961
SAW,EIN,2173556
LHR,BKK,9588788
XIY,KWE,896481
AMS,BSL,561064
LUX,AMS,315203
KMG,XMN,1536949
FRA,ATL,7425554
VIE,DUS,789798
VNO,MUC,1166051
BCN,CPH,1769619
GYD,KBP,1849259
HND,PEK,2096675
AMS,KRK,1076836
PVG,ICN,821467
HOU,ATL,1119610
JUB,NBO,905327
CDG,YYZ,6036891
MUC,HAM,600376
LBA,LPA,3091054
TLV,LAX,12188894
OPO,AMS,1596601
LBA,LHR,278599
VRN,TFS,3092064
CJU,HKG,1750434
AMS,HEL,1525455
MSP,LHR,6461752
LAX,LIM,6706127
ZRH,MUC,261368
CPH,ZRH,950378
AMS,BCN,1240927
ORY,OPO,1201323
AMM,KWI,1182070
GDN,BRU,1020290
AMS,DOH,4927550
MSY,JFK,1902461
FRA,BOS,5904243
SJJ,MUC,713433
MAN,FAO,1868651
CGK,SIN,878005
SZX,CKG,1061887
TAS,TLV,3218266
ORY,MAD,1027841
AMS,BGO,889519
MEM,ATL,533749
TBS,MUC,2694625
NCL,PMI,1753065
CGK,FOC,3815457
TAS,KUL,5359302
SVX,TAS,1827116
MAD,GRU,8355982
TRV,MAA,612272
GRU,MEX,7423048
MEL,CHC,2419088
ATL,MLU,721256
MLA,LHR,2103215
LHR,GVA,755099
NGB,XMN,672046
CMN,MAD,868001
TIA,MXP,1003354
SYX,CSX,1161928
NRT,ICN,1259635
ALA,HKG,4115576
AMS,TXL,580053
NKG,KMG,1723273
EWR,BRU,5923200
PMI,GLA,1890207
LHR,JFK,5554540
KMG,SIN,2630541
TAS,GYD,1620710
MAD,PTY,8163009
BOM,MAA,1032080
FRA,GIG,9543922
ALA,KUF,2267149
AMS,HGH,8941630
MCO,ATL,649507
PVG,KMG,1968438
FRA,LHR,655068
YVR,FRA,8086407
CTA,GVA,1224026
HGH,MFM,1125894
SYX,XIY,1789948
TFS,LPA,117325
LHR,IAH,7779487
LJU,SVO,1925185
HKG,CTU,1350715
MCT,DOH,702036
KMG,CKG,629640
EWR,FRA,6226372
MXP,EWR,6453385
LBA,PFO,3402578
BEY,DXB,2142676
SZX,PEK,1951464
BAH,KWI,419850
HKG,TPE,806733
KIX,GMP,837222
CTU,KMG,615112
GOT,DUS,793754
LCY,ZRH,761272
SHA,XMN,802067
AMS,SKG,1907398
BLQ,MAD,1298454
TPA,LGW,7124684
NRT,DLC,1703610
DPS,HKG,3438119
AMS,EDI,668010
LOS,AMS,5072086
ISB,KWI,2432111
DMM,KWI,354513
MUC,OTP,1175076
EMA,AGP,1812405
TLV,SOF,1558999
MAD,NCE,958118
COK,BOM,1059422
CNF,BSB,589958
LJU,AMS,976050
IST,TSE,3432243
YHZ,YYZ,1291783
FRA,RUH,4296348
TIP,IST,1669920
HAV,ZRH,8230862
AMS,ATH,2183931
CPH,AGP,2472801
SUB,CGK,691826
SYX,FOC,1352773
NRT,JFK,10854436
HKG,CKG,1096673
AMS,LED,1778687
MSP,ATL,1459002
KWI,SAW,2130865
STR,SKG,1415938
TFS,MAN,3046144
CKG,FOC,1348628
ORD,CDG,6682586
RIX,JFK,6764305
MAD,DKR,3158243
THR,SYZ,692443
CWB,CGH,330935
MEL,SIN,6024052
ATL,DEN,1930018
YYT,YHZ,882641
LUX,OPO,1487010
LCA,FRA,2640295
VIE,WAW,549602
PRN,GVA,1254556
URC,XIY,2108283
AMS,CTA,1834976
BCN,ZRH,857008
CTA,FCO,538773
CTS,FSZ,936408
NRT,NKG,2039020
SHA,HKG,1229984
ATL,CAE,308235
LCA,MLA,1740736
FRA,TRN,540701
ICN,CTS,1423737
GVA,BCN,637523
KMG,FOC,1683513
BCN,DTM,1212357
VIE,MAD,1808475
CAN,SYX,693549
AMS,YYZ,6006888
WAW,AMS,1104716
ARN,LUX,1343608
HAM,BSL,694035
CAI,TIP,1755900
DEL,ZRH,6159431
ICN,XMN,1636896
TPE,XIY,1589940
ORD,MAD,6761508
HND,KOJ,936950
KIX,PUS,582935
CTU,XIY,622649
NBO,DXB,3548476
BHX,EWR,5459461
MUC,BRE,563372
WAW,PEK,6962589
XMN,SZX,488486
NCE,AMS,978921
LHR,DFW,7644847
SYZ,DOH,482592
CGH,CWB,330935
WAW,LJU,812801
DAD,ICN,2976289
TXL,AMS,580053
JFK,SCL,8202677
FRA,LAX,9343419
CNX,ICN,3381995
GVA,LED,2191587
KWL,FOC,969995
PMI,GVA,791961
SYX,XMN,1136961
AUS,LHR,7909646
SCQ,CDG,1086655
TLV,AMS,3314995
CTS,ICN,1423737
CJU,GMP,449829
ATL,DFW,1177007
SZX,HGH,1068845
IAD,AMS,6223344
MUC,GDN,815041
YUL,ZRH,6012892
WUH,CKG,737516
MLA,ZRH,1379443
BCN,EWR,6192379
MUC,ARN,1318880
EDI,BUD,1816444
OTP,TLV,1589768
KUL,CDG,10447104
CJU,PEK,1144704
PVG,JFK,11896952
KIX,PVG,1309380
NKG,MFM,1184231
HRK,VIE,1452176
AMS,SAW,2250693
BRU,FRA,304126
CMN,CDG,1930535
RUH,CCJ,3442832
MUC,BKK,8808952
TSE,IST,3432243
NRT,HGH,1958850
SAW,DME,1732470
KBP,HER,1729840
SHJ,CAI,2431260
NNG,SYX,493890
HND,HNL,6201581
WNZ,CKG,1400510
UFA,PRG,2836666
NKG,ICN,941796
CKG,URC,2313906
DXB,LHR,5504716
PRG,WAW,522389
TRV,BLR,528664
DXB,KRT,2604621
OSL,SVO,1609677
JED,DXB,1701278
BKK,MNL,2190478
IST,TXL,1743234
PVG,URC,3317524
TFS,LPA,117325
FCO,VIE,778919
MNL,PEK,2866598
PER,JNB,8325026
PER,DPS,2569167
CCU,DEL,1313182
OSL,ZRH,1426418
AER,EVN,520121
JED,AUH,1615934
BRU,BKK,9272355
SAW,MUC,1613043
RGN,KMG,1149397
HNL,NRT,6145590
SFB,MIA,343721
NBO,ADD,1157447
URC,CKG,2313906
POM,BNE,2080331
CGK,DPS,983178
BLR,BOM,832138
PVG,CPH,8295571
CDG,SVO,2460944
JED,TBZ,1946244
TPE,BKK,2489297
SKG,IST,496036
DLC,CGO,845704
NRT,IAH,10690309
TYN,MFM,1731511
MXP,VIE,657920
AYT,BLL,2653434
BRU,KBP,1859949
DUB,OTP,2537546
JNB,HKG,10671494
STR,CPH,805656
AYT,BRE,2477391
PUS,BKK,3695792
MRS,IST,1960715
AMS,PVG,8930495
FUK,OKA,862725
ORD,LAX,2807618
BKK,HKG,1688538
ISB,MXP,5531581
DOH,WAW,3944524
COK,MAA,517077
FOC,KWL,969995
BCN,OSL,2191683
BLR,SIN,3179635
SVO,TLV,2669675
LCA,LGW,3252507
IST,GRU,10535986
BKK,PVG,2894394
PVG,CGO,834029
TPA,DFW,1494651
TLL,NCE,2122495
KBP,MSQ,439713
ALG,DOH,4740123
DXB,AMM,2024027
ZAG,CPH,1124326
CDG,ALG,1369896
JED,JNB,5420026
HND,BKK,4590204
MXP,IST,1704488
SHA,HKG,1229984
MFM,NRT,3001250
LPA,TFN,111866
SOF,PRG,1081284
SGN,ICN,3555228
NRT,PEK,2139855
DXB,DUB,5926324
MAD,DOH,5338956
KWL,HGH,1165038
CDG,ARN,1542193
LHR,BRU,351512
RIX,SVO,834396
MSP,MDW,561077
ESB,VIE,1580772
KIX,NRT,491697
NKG,CAN,1075573
FLL,BOG,2450090
WLG,CHC,304434
VIE,ZRH,604978
DXB,DOH,378387
DEL,BLR,1702766
DUS,OSL,1027514
SVO,URC,3738752
IST,HAM,1989653
DMM,CAI,1846664
NKG,KMG,1723273
CDG,HND,9730371
MSP,DFW,1370668
DEL,KUL,3869364
DEL,HKG,3752209
MCT,SKT,1862127
JFK,LAX,3982940
BCN,PRG,1359565
DME,AUH,3703455
RIX,ARN,467005
RUH,BOM,2773908
AAL,BLL,156625
TLV,IST,1133181
ICN,KMG,2614595
SAW,MUC,1613043
KBP,ALA,3544178
DOH,CCU,3749125
BGO,TRD,462773
ESB,TZX,583276
TPE,KIX,1703047
NAY,SHA,1052539
XIY,KWL,1030544
DTW,LAS,2814248
SKG,HER,606819
BKK,PUS,3695792
MDL,BKK,1021539
POM,DPS,3523182
DOH,AMM,1685277
OTP,DUB,2537546
JNB,CAI,6234990
MAA,HYD,505160
BRU,FAO,1832746
HAM,IST,1989653
ABV,CAI,3430829
SSA,GRU,1448579
ADD,NBO,1157447
LHR,DOH,5247360
NNG,XMN,1038421
BGO,OSL,325894
RUH,DXB,874507
BJV,IST,425467
SAW,TZX,882022
FSZ,PVG,1582141
BUD,PRG,471640
ICN,HAN,2683198
CKG,CAN,964623
CBR,MEL,470037
PRG,CPH,623349
SFO,CPH,8830220
JED,MAA,4450481
BLR,BKK,2494735
NGO,ICN,974998
AMS,MAD,1458979
PUS,PEK,1217018
XIY,CKG,560794
LGW,DXB,5479908
CPH,LIS,2474600
BLR,DEL,1702766
SVO,OSL,1609677
JED,LHR,4749327
BKK,XMN,2185001
MLA,IST,1372769
DEL,PVG,4299748
SHA,CGO,792062
KIX,CTS,1082812
MFM,KIX,2513646
VIE,BEG,465073
ADB,DUS,2152111
PEK,MNL,2866598
PVG,MEL,7986028
SKG,ARN,2157042
BCN,SVO,3023862
JED,FRA,4131614
FUK,BKK,3723777
SYD,BKK,7502165
FOC,NKG,648322
SHA,KMG,1926986
KHH,NRT,2427682
DLM,VIE,1612942
PUS,KWL,2122919
CEB,ICN,3018905
SIN,HND,5291818
SUB,SIN,1373151
KJA,PEK,2508283
SVG,TOS,1358910
FRA,LED,1753613
MHD,DMM,1429726
AKL,BKK,9548961
TLS,IST,2272051
DXB,KMG,4768412
SZX,NKG,1125561
NRT,SJC,8294859
VIE,BUD,214770
CPH,AYT,2490602
IST,KBP,1053643
OTP,AMS,1788346
TOS,ARN,1119340
JED,NBO,2555720
ODS,IST,623790
CAN,KMG,1069711
PEK,XIY,933947
SAN,DFW,1884390
IST,ATH,538029
CGK,ICN,5245645
MSY,JFK,1902461
KWE,CGO,1112526
BLQ,ARN,1740170
ICN,SFO,9106147
SXF,SVO,1601643
MAN,LAS,8187015
CAN,XIY,1302564
PVG,HKG,1253823
BOM,KUL,3623100
CRK,ICN,2536576
TBS,SAW,1311655
LCA,ODS,1306542
BUD,DOH,3757966
ORD,AMM,10035380
JNB,BOM,6950028
ALC,OSL,2571554
BRU,AGP,1735156
MAD,BKK,10206324
SAW,ESB,323859
HGH,MFM,1125894
KRK,VIE,320895
VIE,IST,1252485
FRA,DXB,4849717
PEK,DOH,6173260
LIS,BCN,996185
CPH,DUS,620132
CHC,SIN,8400457
SVO,AER,1404576
EMA,ABZ,489733
GZT,IST,873455
BCN,CAI,2910374
NKG,SYX,1766013
CTU,PEK,1556350
FLL,PTY,1883489
ZAG,CPH,1124326
VIE,SAW,1288869
MLE,TRV,604822
ICN,DOH,7065428
MAA,HYD,505160
HEL,MUC,1577199
SIN,MEL,6024052
TAS,SVO,2823095
NNG,RGN,1409894
ORD,DFW,1290347
BCN,PMI,201751
ICN,DOH,7065428
MEL,LAX,12747904
PRG,BCN,1359565
COK,MLE,731486
SVG,TRD,583974
LED,KGF,2930465
RUH,IAD,10862173
ALA,IST,3938187
VNO,TLL,532919
KMG,FOC,1683513
PEK,PVG,1098020
LHR,SFO,8638229
STR,ADB,1846481
KBP,LGW,2179403
DOH,GVA,4641191
BUD,FRA,838099
CEB,SIN,2422628
MSP,LAX,2470984
ICN,SYD,8310864
AMM,CAI,472985
COK,KUL,2914716
CTU,ICN,2207765
BCN,ISB,6166308
DOH,CPH,4611700
PRG,OTP,1083725
BRU,MUC,598431
LCA,LED,2781871
ISB,IST,3966789
CAI,BRU,3210272
LAS,LAX,380170
ISB,CPH,5176113
ORD,MSY,1346544
LHR,LIS,1564050
SZX,WNZ,918393
BSL,MUC,328907
ORD,BRU,6693762
LJU,SVO,1925185
RUH,MED,708741
CAI,JUB,2794970
TBS,SAW,1311655
HGH,PEK,1147425
KIX,SIN,4893182
NNG,CKG,802507
MAD,PRG,1751745
ICN,NKG,941796
CKG,XIY,560794
CPH,DXB,4821317
CGK,SIN,878005
CCJ,MAA,502501
TXL,ARN,840095
AYT,SVO,2177905
DXB,BKK,4909055
RUH,IST,2429756
HKG,PVG,1253823
SHA,XIY,1231221
OKA,CTS,2239744
SFO,AKL,10486986
VIE,PEK,7471746
SAW,SXF,1750342
KBP,RIX,862655
AUH,DOH,321318
BCN,AMM,3194444
JNB,DXB,6389738
ARN,HAM,827254
TLL,BRU,1595675
SVO,BEG,1728324
BSB,NAT,1767676
HKG,BKK,1688538
ISB,AUH,2060545
CMB,MLE,777635
CSX,KMG,1079719
PVG,NGO,1459398
KOJ,HND,936950
RIX,VIE,1100444
BJV,SAW,429252
MNL,MFM,1153479
SYD,JNB,11043673
DME,LIS,3921939
HYD,GOI,532362
LED,AMS,1778687
RUH,JED,852355
SIN,UPG,1869944
HRB,XIY,1934186
NRT,SEA,7674697
CHC,AKL,744842
VIE,ZAG,265931
SAW,KWI,2130865
KBP,TFS,4680303
EVN,CDG,3418084
BKK,HKG,1688538
CPT,DXB,7619765
BRU,HER,2397382
RUH,COK,3540742
BGW,ESB,1258954
KHH,KIX,1958073
TPE,NKG,774187
NRT,DEL,5920511
AKL,PER,5347928
TXL,VIE,547175
BEY,SAW,956843
ATH,DOH,2960658
GVA,AMM,3022303
GRJ,CPT,349026
BRU,MXP,665131
LED,SIP,1659745
DCA,MSP,1497633
FCO,IST,1386229
KMG,WUH,1275073
WNZ,PEK,1405605
DEN,DTW,1806779
SYD,CHC,2128968
YYZ,VIE,6967787
DOH,CAI,2060621
BOM,CCU,1667514
CKG,WUH,737516
AGP,CPH,2472801
BRU,RIX,1438292
HAV,SVO,9594156
MSP,JFK,1655190
DMM,IST,2512040
CTU,NGB,1686876
PVG,TPE,674554
KIX,SFO,8711384
WNZ,CSX,750849
PRG,EVN,2592788
ICN,NGO,974998
CKG,WUH,737516
CBR,BNE,954179
PRG,ZRH,511700
LIS,MAD,514369
TNA,WUH,728827
DUB,ARN,1629759
DOH,RUH,496330
BKK,MUC,8808952
IST,TZX,922981
HGH,CAN,1037259
NRT,KIX,491697
KHH,MFM,697601
PRG,BCN,1359565
ATL,ORD,974957
DOH,MAN,5415377
CTU,KWL,843833
BKK,ARN,8301651
EDI,BRU,766211
LED,PRG,1481473
RUH,GVA,4302051
BKK,KUL,1214101
UPG,SIN,1869944
OKA,NGO,1300579
MEL,CHC,2419088
VIE,MUC,356345
DLM,SAW,466800
SGN,MEL,6682550
KRT,JED,969149
GOT,PMI,2128449
SIN,CEB,2422628
SVO,SIP,1238623
LPA,EMA,2999158
FRA,CAI,2923433
SDQ,FLL,1371513
KUL,BOM,3623100
ICN,AUH,6849448
LBA,ISB,6108593
DXB,NCL,5659760
TLV,PRG,2635515
