HAJ,HER,2262816
DUS,WAW,984391
HER,TXL,2131786
STR,ATH,1683668
HAJ,PRN,1389218
CGN,DUB,959547
BCN,HAJ,1368031
CGN,DRS,465817
STR,FCO,801137
HAM,VIE,768556
DUS,CAG,1349678
DUB,CGN,959547
DUS,PRG,545440
VRN,TXL,815707
PMI,TXL,1656440
POZ,DUS,703828
DUS,BCN,1167369
HAJ,FCO,1200407
CGN,NAP,1238924
SKG,CGN,1679333
HAM,BGO,796205
FKB,HAM,555854
HAM,CDG,729198
STR,BRI,1027726
STR,AGP,1739772
HER,HAJ,2262816
DUS,CTA,1669756
HAM,OSL,734002
STR,HER,1978338
SAW,CGN,2034148
VCE,CGN,710456
VCE,HAJ,797650
MAN,HAM,813498
SAW,STR,1802152
HAJ,VCE,797650
TXL,PMI,1656440
LPA,CGN,3174279
CGN,SAW,2034148
STR,LHR,758244
HAM,HER,2353444
CGN,PMO,1486076
BUD,STR,760124
CGN,PMI,1303524
CTA,HAJ,1718350
STR,VIE,547660
KRK,STR,781615
HAM,ZRH,693372
TXL,BHX,1019142
TXL,BLQ,904335
NAP,STR,954963
DRS,CGN,465817
HAJ,MXP,762819
PRG,DUS,545440
DUS,NUE,364845
BSL,HRG,3217173
TXL,SJJ,1040517
PSA,CGN,835256
HAM,FCO,1325591
HAJ,NAP,1333418
DUS,POZ,703828
HAM,FAO,2307950
CGN,VRN,668887
STR,BUD,760124
HAM,PRG,490540
DUS,MXP,645703
HAM,BCN,1493071
HAM,SKG,1753683
STR,PMI,1139288
NAP,HAM,1453118
DUB,DUS,917905
DRS,STR,424615
LHR,CGN,535886
PMO,CGN,1486076
LEJ,STR,373835
NAP,HAJ,1333418
CGN,TXL,464455
DUS,KTW,870244
VIE,HAJ,688607
NCE,HAM,1127343
CGN,MXP,593888
SJJ,CGN,1149930
NCE,CGN,801319
PRG,CGN,512052
DRS,DUS,489304
CGN,CTA,1615844
GVA,HAM,867780
SAW,TXL,1775464
SJJ,STR,885435
PMI,CGN,1303524
HAM,NCE,1127343
CGN,SJJ,1149930
CGN,FCO,1080638
CWL,DUS,704002
TLV,CGN,3090585
LEJ,CGN,362225
CGN,ZRH,391897
TXL,CTA,1683019
STN,CGN,493958
HER,CGN,2252729
FCO,HAJ,1200407
VCE,DUS,764178
PMI,HAM,1658593
STR,SKG,1415938
TXL,CGN,464455
HAM,MAN,813498
LHR,STR,758244
DUS,PRN,1451350
CGN,NCE,801319
SAW,HAM,2022567
TXL,FCO,1198246
VCE,HAM,919572
HEL,TXL,1121330
FCO,TXL,1198246
SAW,DTM,2035974
DUS,ARN,1164736
STR,TXL,517584
HAM,NUE,465719
DUS,SKG,1728846
STR,STN,731749
STR,HAM,552235
GVA,DUS,563813
HAM,VCE,919572
DTM,MUC,462097
STR,SAW,1802152
MAD,DUS,1440222
DUS,TRN,680186
TXL,HER,2131786
MUC,DTM,462097
CGN,PSA,835256
PRN,TXL,1252431
FCO,STR,801137
TXL,VRN,815707
CGN,PRG,512052
CTA,STR,1333559
SKG,STR,1415938
LIS,STR,1835706
VRN,CGN,668887
PMI,DUS,1341552
CTA,CGN,1615844
STR,FAO,1903820
HAJ,VIE,688607
ZRH,HAM,693372
DUS,BRI,1363926
NUE,TXL,374434
HAJ,SAW,1964970
ZAG,STR,613097
MAN,CGN,701386
CGN,SKG,1679333
TXL,NUE,374434
STR,KRK,781615
PMI,HAJ,1530692
CGN,MAN,701386
STR,CAG,1048803
TXL,NCE,1087200
KTW,DUS,870244
CTA,TXL,1683019
HAJ,SKG,1668434
HAJ,PMI,1530692
ZRH,CGN,391897
MXP,HAM,894357
NAP,CGN,1238924
DUS,GVA,563813
TRN,DUS,680186
NUE,HAM,465719
MAD,HAM,1780386
HAM,STR,552235
WAW,DUS,984391
EDI,CGN,897895
TXL,STR,517584
STR,HAJ,420787
STN,HAJ,649206
MXP,CGN,593888
SKG,DUS,1728846
FAO,HAM,2307950
HAM,VRN,918156
FAO,CGN,1951601
DUS,WRO,707078
TXL,VIE,547175
HAJ,STR,420787
SKG,HAM,1753683
STR,PRN,1142787
HAM,TLS,1278915
SKG,HAJ,1668434
STR,BRU,420401
FAO,STR,1903820
CGN,FAO,1951601
LHR,TXL,950244
DUS,MAD,1440222
TXL,AGP,2247360
CGN,EDI,897895
PRN,HAM,1475667
HER,STR,1978338
CGN,STN,493958
STR,MXP,342168
PRG,HAM,490540
DUS,HER,2304161
TXL,SAW,1775464
HAM,FKB,555854
CGN,HER,2252729
DUS,DRS,489304
TUN,CGN,1576442
FCO,CGN,1080638
CGN,HAM,363791
PRN,HAJ,1389218
CGN,VIE,747916
STR,BRE,485729
PRN,DUS,1451350
SJJ,TXL,1040517
STR,DRS,424615
HAM,CGN,363791
HER,DUS,2304161
DTM,PMI,1382594
STR,NAP,954963
NCE,TXL,1087200
STR,LIS,1835706
VRN,HAM,918156
LIS,CGN,1852302
HAM,PRN,1475667
HAM,CTA,1838520
VIE,TXL,547175
TXL,LIN,843547
PRN,STR,1142787
HAJ,BCN,1368031
VIE,STR,547660
HAM,NAP,1453118
CGN,WAW,968944
STR,BEG,948905
VIE,HAM,768556
LHR,HAM,747665
HAM,AMS,380455
CGN,LEJ,362225
STR,BCN,995152
DUS,PMI,1341552
HER,HAM,2353444
HAM,BHX,797033
HAJ,CTA,1718350
TXL,HEL,1121330
STR,ZAG,613097
LEJ,DUS,381572
CGN,TUN,1576442
STN,STR,731749
DUS,VCE,764178
WAW,CGN,968944
CGN,TLV,3090585
PVG,MNL,1843998
SIN,CRK,2378024
KIX,MNL,2629047
MNL,ICN,2600105
CGN,LIS,1852302
OSL,HAM,734002
DUS,CWL,704002
TXL,LHR,950244
CGN,LHR,535886
TXL,PRN,1252431
SAW,HAJ,1964970
CGN,VCE,710456
STR,SJJ,885435
HAM,MAD,1780386
WRO,DUS,707078
MXP,STR,342168
DUS,BSL,415195
HAM,LHR,747665
HAM,GVA,867780
CGN,LPA,3174279
MNL,PUS,2423318
GIG,MVD,1822331
MNL,MFM,1153479
HAM,MXP,894357
CTA,HAM,1838520
STR,CTA,1333559
DUS,LEJ,381572
MXP,DUS,645703
HAJ,STN,649206
DTM,SAW,2035974
MNL,PVG,1843998
CRK,SIN,2378024
EZE,MVD,229149
BKK,MNL,2190478
MNL,DXB,6915229
DVO,CEB,396855
HAN,MNL,1773787
NBO,MBA,421978
MNL,NRT,3046137
DVO,MNL,960456
CGY,CEB,194701
BWN,MNL,1250952
DEL,BOM,1134665
XMN,MNL,1151504
CGY,DVO,210334
BLR,COK,365716
